MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,VesselType
366000166,2024-01-15T06:15:00,37.9215,-122.4677,2.7,307.3,50,POLAR HORIZON,70
366000170,2024-01-15T02:10:00,37.7696,-122.336,14.6,324.0,84,GUARDIAN PACIFIC,70
366000170,2024-01-15T04:24:00,37.6385,-122.3655,14.7,281.9,146,GUARDIAN PACIFIC,70
366000170,2024-01-15T06:27:00,37.8638,-122.2552,14.6,237.6,249,GUARDIAN PACIFIC,70
366000180,2024-01-15T02:34:00,37.6576,-122.3905,0.0,171.2,271,CORAL EVER,70
366000180,2024-01-15T04:10:00,37.6563,-122.3275,0.4,24.6,34,CORAL EVER,70
366000180,2024-01-15T06:43:00,37.9173,-122.3612,0.5,204.5,296,CORAL EVER,70
366000180,2024-01-15T08:38:00,37.6507,-122.4656,0.3,202.9,161,CORAL EVER,70
366000180,2024-01-15T10:59:00,37.7224,-122.275,0.0,95.4,67,CORAL EVER,70
366000200,2024-01-15T02:29:00,37.8393,-122.3096,14.1,193.0,259,VOYAGER OCEAN,70
366000200,2024-01-15T04:16:00,37.6808,-122.379,14.1,87.7,145,VOYAGER OCEAN,70
366000200,2024-01-15T06:10:00,37.78,-122.316,14.3,353.2,334,VOYAGER OCEAN,70
366000236,2024-01-15T02:56:00,47.4101,-122.327,7.0,217.1,175,EVER NORTHERN,70
366000236,2024-01-15T04:13:00,47.6611,-122.1974,7.2,90.2,26,EVER NORTHERN,70
366000236,2024-01-15T06:05:00,47.6381,-122.2076,6.8,119.7,66,EVER NORTHERN,70
366000253,2024-01-15T02:07:00,47.3963,-122.1843,10.2,195.9,189,ATLANTIC VOYAGER,70
366000253,2024-01-15T04:37:00,47.6027,-122.3804,9.5,130.9,20,ATLANTIC VOYAGER,70
366000253,2024-01-15T06:57:00,47.5185,-122.2713,10.0,127.0,286,ATLANTIC VOYAGER,70
366000280,2024-01-15T02:51:00,47.7144,-122.1851,7.8,264.4,170,CLIPPER SOUTHERN,70
366000280,2024-01-15T04:50:00,47.7663,-122.2193,8.4,291.1,136,CLIPPER SOUTHERN,70
366000280,2024-01-15T06:10:00,47.7043,-122.5195,8.4,308.2,113,CLIPPER SOUTHERN,70
366000293,2024-01-15T02:14:00,47.374,-122.4827,2.1,310.3,142,VOYAGER POLAR,70
366000293,2024-01-15T04:22:00,47.6412,-122.3934,2.6,192.5,14,VOYAGER POLAR,70
366000293,2024-01-15T06:07:00,47.743,-122.4533,2.3,353.1,19,VOYAGER POLAR,70
366000300,2024-01-15T02:38:00,47.7894,-122.5162,2.5,68.2,22,CLIPPER HORIZON,70
366000300,2024-01-15T04:45:00,47.5523,-122.3414,2.4,246.6,343,CLIPPER HORIZON,70
366000300,2024-01-15T06:12:00,47.5213,-122.536,2.3,118.5,160,CLIPPER HORIZON,70
366000300,2024-01-15T08:42:00,47.7305,-122.255,2.0,111.0,209,CLIPPER HORIZON,70
366000326,2024-01-15T02:43:00,40.7673,-74.191,1.2,145.8,0,EVER GUARDIAN,70
366000326,2024-01-15T04:19:00,40.5679,-74.0803,1.2,235.0,238,EVER GUARDIAN,70
366000326,2024-01-15T06:28:00,40.635,-74.1738,1.2,323.5,86,EVER GUARDIAN,70
366000326,2024-01-15T08:42:00,40.4805,-74.0433,1.3,120.3,120,EVER GUARDIAN,70
366000346,2024-01-15T02:39:00,40.8112,-74.2347,0.1,226.1,99,IRON CORAL,70
366000346,2024-01-15T04:45:00,40.7449,-74.0524,0.0,235.5,2,IRON CORAL,70
366000346,2024-01-15T06:57:00,40.7685,-73.9332,0.0,152.6,90,IRON CORAL,70
366000346,2024-01-15T08:51:00,40.858,-74.0422,0.0,89.5,62,IRON CORAL,70
366000376,2024-01-15T02:20:00,40.8546,-73.8807,15.0,258.2,258,SOUTHERN VOYAGER,70
366000376,2024-01-15T04:27:00,40.8029,-74.0293,15.2,267.0,243,SOUTHERN VOYAGER,70
366000376,2024-01-15T06:28:00,40.5559,-74.1593,15.0,274.9,266,SOUTHERN VOYAGER,70
366000376,2024-01-15T08:31:00,40.7148,-74.1475,14.6,102.6,139,SOUTHERN VOYAGER,70
366000376,2024-01-15T10:21:00,40.582,-74.0326,14.6,83.0,355,SOUTHERN VOYAGER,70
366000386,2024-01-15T02:26:00,40.4707,-73.906,0.8,276.4,356,CORAL GOLDEN,70
366000386,2024-01-15T04:01:00,40.8143,-73.9351,0.8,2.1,180,CORAL GOLDEN,70
366000386,2024-01-15T06:19:00,40.7696,-73.8972,1.3,150.4,279,CORAL GOLDEN,70
366000386,2024-01-15T08:51:00,40.7046,-74.1708,0.7,156.5,14,CORAL GOLDEN,70
366000411,2024-01-15T02:39:00,40.6748,-73.874,13.6,238.0,42,OCEAN STAR,70
366000411,2024-01-15T04:41:00,40.6291,-73.8914,13.3,93.4,167,OCEAN STAR,70
366000411,2024-01-15T06:13:00,40.6404,-74.1203,13.9,99.9,215,OCEAN STAR,70
366000428,2024-01-15T02:14:00,40.7249,-73.9284,1.6,270.8,126,GOLDEN TRADER,70
366000428,2024-01-15T04:12:00,40.8067,-73.9975,1.3,170.0,58,GOLDEN TRADER,70
366000428,2024-01-15T06:36:00,40.8536,-74.0651,1.3,132.4,310,GOLDEN TRADER,70
366000428,2024-01-15T08:38:00,40.8605,-73.9556,1.7,58.8,159,GOLDEN TRADER,70
366000435,2024-01-15T02:25:00,40.8509,-74.1805,11.3,298.2,124,MARINER PACIFIC,70
366000435,2024-01-15T04:06:00,40.7453,-74.1358,11.3,289.2,289,MARINER PACIFIC,70
366000435,2024-01-15T06:50:00,40.4615,-74.0358,11.3,24.8,331,MARINER PACIFIC,70
366000435,2024-01-15T08:21:00,40.4493,-74.0846,11.2,155.6,185,MARINER PACIFIC,70
366000445,2024-01-15T02:39:00,29.8866,-94.9594,14.7,156.4,303,HORIZON ATLANTIC,70
366000445,2024-01-15T04:17:00,29.6239,-95.1176,15.0,100.1,230,HORIZON ATLANTIC,70
366000445,2024-01-15T06:15:00,29.8554,-94.9422,14.8,120.8,253,HORIZON ATLANTIC,70
366000445,2024-01-15T08:54:00,29.6254,-94.9867,14.6,92.7,143,HORIZON ATLANTIC,70
366000484,2024-01-15T02:15:00,29.839,-94.9862,2.9,247.9,330,SILVER GUARDIAN,70
366000484,2024-01-15T04:45:00,29.715,-94.8217,2.3,79.6,354,SILVER GUARDIAN,70
366000484,2024-01-15T06:15:00,29.6152,-94.9359,2.6,190.6,217,SILVER GUARDIAN,70
366000520,2024-01-15T02:14:00,29.5149,-95.1462,8.1,192.4,353,OCEAN POLAR,70
366000520,2024-01-15T04:11:00,29.5533,-94.851,8.3,211.7,268,OCEAN POLAR,70
366000520,2024-01-15T06:38:00,29.6027,-95.1959,8.2,81.7,91,OCEAN POLAR,70
366000520,2024-01-15T08:19:00,29.4574,-94.9615,8.3,349.8,283,OCEAN POLAR,70
366000539,2024-01-15T02:30:00,29.7085,-95.0661,0.4,90.6,244,SOUTHERN TRADER,70
366000539,2024-01-15T04:07:00,29.8941,-95.0337,0.0,226.0,27,SOUTHERN TRADER,70
366000539,2024-01-15T06:09:00,29.5304,-94.946,0.0,356.8,60,SOUTHERN TRADER,70
366000539,2024-01-15T08:35:00,29.8629,-94.9225,0.3,81.0,267,SOUTHERN TRADER,70
366000564,2024-01-15T02:19:00,29.7571,-95.2177,2.0,35.6,106,VOYAGER VOYAGER,70
366000564,2024-01-15T04:40:00,29.5638,-94.8933,1.4,62.4,38,VOYAGER VOYAGER,70
366000564,2024-01-15T06:10:00,29.4512,-95.0068,1.7,104.6,118,VOYAGER VOYAGER,70
366000564,2024-01-15T08:18:00,29.8319,-94.8703,1.6,246.8,135,VOYAGER VOYAGER,70
366000602,2024-01-15T02:58:00,29.5933,-95.1734,0.3,284.6,304,CORAL HORIZON,70
366000602,2024-01-15T04:47:00,29.8953,-94.7523,0.6,168.3,155,CORAL HORIZON,70
366000602,2024-01-15T06:44:00,29.6673,-95.1031,0.7,157.2,306,CORAL HORIZON,70
366000605,2024-01-15T02:43:00,29.9016,-94.9394,6.6,358.8,344,HORIZON OCEAN,70
366000605,2024-01-15T04:52:00,29.5954,-95.2285,6.4,168.9,333,HORIZON OCEAN,70
366000605,2024-01-15T06:28:00,29.9449,-95.1522,6.3,227.9,251,HORIZON OCEAN,70
366000611,2024-01-15T02:54:00,29.5367,-95.0278,0.9,237.9,205,TRADER POLAR,70
366000611,2024-01-15T04:52:00,29.8608,-95.2304,0.6,90.6,59,TRADER POLAR,70
366000611,2024-01-15T06:49:00,29.6682,-94.9721,1.3,236.1,277,TRADER POLAR,70
366000641,2024-01-15T07:00:00,22.3252,-139.8894,15.0,300.0,301,OPEN SEA DRIFTER,70
366000673,2024-01-15T08:00:00,26.5599,-141.7787,14.4,300.0,301,OPEN SEA DRIFTER,70
366000692,2024-01-15T08:00:00,27.2851,-140.0917,10.2,300.0,301,OPEN SEA DRIFTER,70
999,2024-01-15T04:00:00,33.7,-118.2,5.0,100.0,101,BAD MMSI,70
366123999,2024-01-15T05:00:00,999.0,-122.3,3.0,10.0,11,BAD LAT,70
